Date,PAAverage
3/31/2015,0.12
2/28/2015,0.11
12/31/2014,0.124
11/30/2014,0.095
10/31/2014,0.089
9/30/2014,0.089
8/31/2014,0.088
7/31/2014,0.092
6/30/2014,0.1
5/31/2014,0.09
4/30/2014,0.09
3/31/2014,0.08
2/28/2014,0.07
1/31/2014,0.07
12/31/2013,0.09
11/30/2013,0.084
10/31/2013,0.087
9/30/2013,0.081
8/31/2013,0.083
7/31/2013,0.093
6/30/2013,0.094
5/31/2013,0.109
4/30/2013,0.145
3/31/2013,0.144
2/28/2013,0.145
1/31/2013,0.143
12/31/2012,0.165
11/30/2012,0.161
10/31/2012,0.158
9/30/2012,0.144
8/31/2012,0.132
7/31/2012,0.155
6/30/2012,0.162
5/31/2012,0.156
4/30/2012,0.139
3/31/2012,0.127
2/29/2012,0.104
1/31/2012,0.083
12/31/2011,0.072
11/30/2011,0.081
10/31/2011,0.071
9/30/2011,0.084
8/31/2011,0.096
7/31/2011,0.07
6/30/2011,0.092
5/31/2011,0.094
4/30/2011,0.098
3/31/2011,0.139
2/28/2011,0.157
1/31/2011,0.169
12/31/2010,0.183
11/30/2010,0.194
10/31/2010,0.191
9/30/2010,0.195
8/31/2010,0.189
7/31/2010,0.183
6/30/2010,0.177
5/31/2010,0.201
4/30/2010,0.198
3/31/2010,0.165
2/28/2010,0.126
1/31/2010,0.11
12/31/2009,0.119
11/30/2009,0.119
10/31/2009,0.118
9/30/2009,0.147
8/31/2009,0.16
7/31/2009,0.156
6/30/2009,0.206
5/31/2009,0.177
4/30/2009,0.15
3/31/2009,0.181
2/28/2009,0.222
1/31/2009,0.154
12/31/2008,0.155
11/30/2008,0.388
10/31/2008,0.969
9/30/2008,1.812
8/31/2008,1.997
7/31/2008,2.01
6/30/2008,2.001
5/31/2008,1.978
4/30/2008,2.278
3/31/2008,2.61
2/29/2008,2.983
1/31/2008,3.94
12/31/2007,4.236
11/30/2007,4.495
10/31/2007,4.756
9/30/2007,4.938
8/31/2007,5.015
7/31/2007,5.258
6/30/2007,5.254
5/31/2007,5.254
4/30/2007,5.243
3/31/2007,5.256
2/28/2007,5.259
1/31/2007,5.248
12/31/2006,5.238
11/30/2006,5.246
10/31/2006,5.245
9/30/2006,5.255
8/31/2006,5.247
7/31/2006,5.235
6/30/2006,4.991
5/31/2006,4.94
4/30/2006,4.79
3/31/2006,4.589
2/28/2006,4.491
1/31/2006,4.288
12/31/2005,4.163
11/30/2005,4.004
10/31/2005,3.779
9/30/2005,3.623
8/31/2005,3.5
7/31/2005,3.263
6/30/2005,3.036
5/31/2005,3
4/30/2005,2.785
3/31/2005,2.636
2/28/2005,2.502
1/31/2005,2.279
12/31/2004,2.156
11/30/2004,1.932
10/31/2004,1.761
9/30/2004,1.605
8/31/2004,1.429
7/31/2004,1.264
6/30/2004,1.026
5/31/2004,1.004
4/30/2004,1.004
3/31/2004,1.002
2/29/2004,1.007
1/31/2004,0.997
12/31/2003,0.984
11/30/2003,0.996
10/31/2003,1.01
9/30/2003,1.01
8/31/2003,1.028
7/31/2003,1.011
6/30/2003,1.223
5/31/2003,1.259
4/30/2003,1.258
3/31/2003,1.253
2/28/2003,1.262
1/31/2003,1.235
12/31/2002,1.238
11/30/2002,1.336
10/31/2002,1.755
9/30/2002,1.751
8/31/2002,1.743
7/31/2002,1.729
6/30/2002,1.75
5/31/2002,1.751
4/30/2002,1.753
3/31/2002,1.73
2/28/2002,1.74
1/31/2002,1.73
12/31/2001,1.818
11/30/2001,2.087
10/31/2001,2.485
9/30/2001,3.069
8/31/2001,3.653
7/31/2001,3.769
6/30/2001,3.97
5/31/2001,4.212
4/30/2001,4.802
3/31/2001,5.311
2/28/2001,5.494
1/31/2001,5.976
12/31/2000,6.402
11/30/2000,6.514
10/31/2000,6.509
9/30/2000,6.517
8/31/2000,6.497
7/31/2000,6.545
6/30/2000,6.528
5/31/2000,6.268
4/30/2000,6.02
3/31/2000,5.854
2/29/2000,5.735
1/31/2000,5.462
12/31/1999,5.296
11/30/1999,5.42
10/31/1999,5.2
9/30/1999,5.224
8/31/1999,5.072
7/31/1999,4.994
6/30/1999,4.765
5/31/1999,4.742
4/30/1999,4.736
3/31/1999,4.809
2/28/1999,4.765
1/31/1999,4.633
12/31/1998,4.684
11/30/1998,4.826
10/31/1998,5.071
9/30/1998,5.512
8/31/1998,5.547
7/31/1998,5.536
6/30/1998,5.559
5/31/1998,5.489
4/30/1998,5.445
3/31/1998,5.494
2/28/1998,5.506
1/31/1998,5.557
12/31/1997,5.505
11/30/1997,5.522
10/31/1997,5.496
9/30/1997,5.541
8/31/1997,5.542
7/31/1997,5.521
6/30/1997,5.556
5/31/1997,5.504
4/30/1997,5.507
3/31/1997,5.386
2/28/1997,5.186
1/31/1997,5.255
12/31/1996,5.295
11/30/1996,5.311
10/31/1996,5.238
9/30/1996,5.299
8/31/1996,5.223
7/31/1996,5.397
6/30/1996,5.273
5/31/1996,5.235
4/30/1996,5.224
3/31/1996,5.314
2/29/1996,5.225
1/31/1996,5.565
12/31/1995,5.602
11/30/1995,5.803
10/31/1995,5.756
9/30/1995,5.805
8/31/1995,5.735
7/31/1995,5.852
6/30/1995,6.001
5/31/1995,6.009
4/30/1995,6.047
3/31/1995,5.977
2/28/1995,5.915
1/31/1995,5.527
12/31/1994,5.453
11/30/1994,5.295
10/31/1994,4.76
9/30/1994,4.734
8/31/1994,4.475
7/31/1994,4.256
6/30/1994,4.246
5/31/1994,4.011
4/30/1994,3.555
3/31/1994,3.336
2/28/1994,3.245
1/31/1994,3.051
12/31/1993,2.955
11/30/1993,3.018
10/31/1993,2.993
9/30/1993,3.086
8/31/1993,3.032
7/31/1993,3.056
6/30/1993,3.038
5/31/1993,2.996
4/30/1993,2.958
3/31/1993,3.074
2/28/1993,3.027
1/31/1993,3.024
12/31/1992,2.92
11/30/1992,3.088
10/31/1992,3.099
9/30/1992,3.22
8/31/1992,3.303
7/31/1992,3.254
6/30/1992,3.763
5/31/1992,3.823
4/30/1992,3.735
3/31/1992,3.983
2/29/1992,4.058
1/31/1992,4.034
12/31/1991,4.434
11/30/1991,4.811
10/31/1991,5.21
9/30/1991,5.447
8/31/1991,5.661
7/31/1991,5.821
6/30/1991,5.9
5/31/1991,5.783
4/30/1991,5.912
3/31/1991,6.115
2/28/1991,6.253
1/31/1991,6.907
12/31/1990,7.313
11/30/1990,7.807
10/31/1990,8.113
9/30/1990,8.195
8/31/1990,8.134
7/31/1990,8.153
6/30/1990,8.289
5/31/1990,8.177
4/30/1990,8.255
3/31/1990,8.277
2/28/1990,8.237
1/31/1990,8.229
12/31/1989,8.453
11/30/1989,8.548
10/31/1989,8.841
9/30/1989,9.021
8/31/1989,8.992
7/31/1989,9.236
6/30/1989,9.53
5/31/1989,9.809
4/30/1989,9.835
3/31/1989,9.849
2/28/1989,9.361
1/31/1989,9.121
12/31/1988,8.76
11/30/1988,8.345
10/31/1988,8.296
9/30/1988,8.193
8/31/1988,8.009
7/31/1988,7.755
6/30/1988,7.509
5/31/1988,7.087
4/30/1988,6.872
3/31/1988,6.576
2/29/1988,6.583
1/31/1988,6.834
12/31/1987,6.77
11/30/1987,6.693
10/31/1987,7.289
9/30/1987,7.216
8/31/1987,6.732
7/31/1987,6.582
6/30/1987,6.725
5/31/1987,6.853
4/30/1987,6.365
3/31/1987,6.128
2/28/1987,6.101
1/31/1987,6.427
12/31/1986,6.908
11/30/1986,6.039
10/31/1986,5.846
9/30/1986,5.89
8/31/1986,6.171
7/31/1986,6.557
6/30/1986,6.917
5/31/1986,6.853
4/30/1986,6.988
3/31/1986,7.479
2/28/1986,7.86
1/31/1986,8.145
12/31/1985,8.275
11/30/1985,8.051
10/31/1985,7.987
9/30/1985,7.921
8/31/1985,7.898
7/31/1985,7.884
6/30/1985,7.533
5/31/1985,7.971
4/30/1985,8.267
3/31/1985,8.577
2/28/1985,8.501
1/31/1985,8.349
12/31/1984,8.382
11/30/1984,9.426
10/31/1984,9.986
9/30/1984,11.303
8/31/1984,11.637
7/31/1984,11.234
6/30/1984,11.062
5/31/1984,10.319
4/30/1984,10.291
3/31/1984,9.913
2/29/1984,9.588
1/31/1984,9.558
12/31/1983,9.471
11/30/1983,9.34
10/31/1983,9.476
9/30/1983,9.448
8/31/1983,9.558
7/31/1983,9.368
6/30/1983,8.982
5/31/1983,8.63
4/30/1983,8.802
3/31/1983,8.766
2/28/1983,8.509
1/31/1983,8.683
12/31/1982,8.946
11/30/1982,9.196
10/31/1982,9.707
9/30/1982,10.31
8/31/1982,10.119
7/31/1982,12.587
6/30/1982,14.153
5/31/1982,14.455
4/30/1982,14.937
3/31/1982,14.678
2/28/1982,14.779
1/31/1982,13.221
12/31/1981,12.369
11/30/1981,13.307
10/31/1981,15.08
9/30/1981,15.874
8/31/1981,17.818
7/31/1981,19.036
6/30/1981,19.1
5/31/1981,18.518
4/30/1981,15.719
3/31/1981,14.704
2/28/1981,15.934
1/31/1981,19.085
12/31/1980,18.896
11/30/1980,15.849
10/31/1980,12.814
9/30/1980,10.872
8/31/1980,9.606
7/31/1980,9.026
6/30/1980,9.472
5/31/1980,10.983
4/30/1980,17.608
3/31/1980,17.192
2/29/1980,14.126
1/31/1980,13.817
12/31/1979,13.779
11/30/1979,13.18
10/31/1979,13.769
9/30/1979,11.428
8/31/1979,10.936
7/31/1979,10.472
6/30/1979,10.292
5/31/1979,10.242
4/30/1979,10.01
3/31/1979,10.089
2/28/1979,10.059
1/31/1979,10.071
12/31/1978,10.029
11/30/1978,9.755
10/31/1978,8.956
9/30/1978,8.449
8/31/1978,8.036
7/31/1978,7.811
6/30/1978,7.597
5/31/1978,7.36
4/30/1978,6.889
3/31/1978,6.793
2/28/1978,6.784
1/31/1978,6.704
12/31/1977,6.561
11/30/1977,6.508
10/31/1977,6.466
9/30/1977,6.138
8/31/1977,5.902
7/31/1977,5.419
6/30/1977,5.389
5/31/1977,5.35
4/30/1977,4.727
3/31/1977,4.69
2/28/1977,4.683
1/31/1977,4.611
12/31/1976,4.651
11/30/1976,4.949
10/31/1976,5.025
9/30/1976,5.252
8/31/1976,5.291
7/31/1976,5.307
6/30/1976,5.476
5/31/1976,5.291
4/30/1976,4.816
3/31/1976,4.837
2/29/1976,4.771
1/31/1976,4.868
12/31/1975,5.196
11/30/1975,5.216
10/31/1975,5.816
9/30/1975,6.239
8/31/1975,6.136
7/31/1975,6.096
6/30/1975,5.548
5/31/1975,5.221
4/30/1975,5.493
3/31/1975,5.537
2/28/1975,6.241
1/31/1975,7.132
